TenureMonths,CustomerAge,MonthlyCharges,TotalCharges,ChargesPerTenure,SupportTickets,ContractType,InternetService,PaymentMethod,OnlineSecurity,TechSupport,PaperlessBilling,Dependents,Churn,ClusterPersona
33,36,97.52,3203.94,97.09,2,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,Yes,1,0
20,38,96.3,1946.75,97.34,1,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes,1,2
19,40,101.19,1872.24,98.54,2,One year,Fiber optic,Mailed check,Yes,Yes,Yes,No,1,2
19,43,89.66,1636.51,86.13,3,One year,Fiber optic,Mailed check,No,No,Yes,No,1,2
65,50,28.38,1811.7,27.87,2,One year,No,Electronic check,No,No,Yes,Yes,0,1
40,36,37.96,1546.15,38.65,1,One year,DSL,Credit card,No,No,No,No,0,1
15,43,26.34,407.34,27.16,1,Month-to-month,No,Electronic check,Yes,No,Yes,No,0,1
34,41,66.58,2296.62,67.55,0,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes,0,2
27,30,109.29,2892.97,107.15,2,One year,Fiber optic,Electronic check,No,No,Yes,Yes,0,2
3,40,23.34,87.94,29.31,1,Month-to-month,No,Electronic check,No,Yes,Yes,No,0,1
9,40,93.92,794.98,88.33,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes,1,2
29,40,68.85,1958.68,67.54,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,0,2
61,42,68.7,4145.57,67.96,0,Month-to-month,DSL,Electronic check,No,No,Yes,No,0,0
19,42,50.37,917.51,48.29,0,Month-to-month,DSL,Credit card,No,No,No,No,0,1
14,36,99.62,1487.18,106.23,0,Two year,Fiber optic,Electronic check,No,No,Yes,No,0,2
25,57,23.12,596.52,23.86,0,Two year,No,Electronic check,No,No,Yes,Yes,0,1
14,27,22.49,250.22,17.87,1,Month-to-month,No,Bank transfer,No,Yes,No,Yes,0,1
18,33,102.73,1794.07,99.67,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,Yes,1,2
23,75,71.31,1643.04,71.44,0,One year,Fiber optic,Electronic check,Yes,No,Yes,No,0,2
8,29,46.03,374.12,46.76,3,Month-to-month,DSL,Electronic check,No,Yes,No,No,0,1
41,25,30.8,1240.36,30.25,2,Month-to-month,No,Credit card,Yes,No,No,No,0,1
7,50,39.58,336.15,48.02,2,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,1,1
6,18,100.79,573.58,95.6,0,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,1,2
27,39,89.11,2438.51,90.32,1,Two year,Fiber optic,Electronic check,No,No,Yes,No,0,2
39,67,87.7,3448.75,88.43,0,Two year,Fiber optic,Credit card,Yes,No,Yes,Yes,1,0
26,23,70.91,1927.83,74.15,3,Month-to-month,Fiber optic,Credit card,No,No,No,No,1,2
21,18,29.38,702.64,33.46,2,Month-to-month,No,Credit card,Yes,Yes,Yes,Yes,0,1
18,24,97.43,1778.07,98.78,2,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,Yes,1,2
15,52,21.74,327.43,21.83,1,Month-to-month,No,Mailed check,Yes,No,Yes,Yes,0,1
48,55,72.92,3512.8,73.18,1,Two year,DSL,Electronic check,Yes,No,No,No,0,0
29,35,93.87,2743.74,94.61,0,One year,Fiber optic,Credit card,No,No,No,No,0,2
17,50,99.57,1627.66,95.74,2,One year,Fiber optic,Credit card,No,Yes,Yes,Yes,0,2
13,58,116.21,1458.31,112.18,3,One year,Fiber optic,Mailed check,No,No,Yes,No,0,2
36,63,26.15,975.6,27.1,0,Two year,No,Bank transfer,Yes,No,Yes,Yes,0,1
47,39,45.62,2192.01,46.64,5,Two year,DSL,Electronic check,No,No,No,No,0,1
44,18,40.04,1814.02,41.23,1,Month-to-month,DSL,Mailed check,Yes,No,Yes,No,0,1
11,32,95.99,1048.42,95.31,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,1,2
18,36,63.47,1153.9,64.11,1,One year,DSL,Mailed check,No,No,Yes,No,0,2
15,38,21.99,313.82,20.92,0,Month-to-month,No,Mailed check,No,No,Yes,No,0,1
20,39,50.9,1082.32,54.12,4,Two year,DSL,Electronic check,Yes,Yes,No,No,0,1
41,55,71.82,2930.83,71.48,3,One year,Fiber optic,Credit card,Yes,No,No,No,0,0
57,57,41.98,2365.77,41.5,3,Two year,DSL,Credit card,No,Yes,Yes,No,0,1
30,39,109.32,3273.92,109.13,2,Month-to-month,Fiber optic,Credit card,No,Yes,No,No,0,0
13,55,77.94,999.53,76.89,0,Two year,Fiber optic,Bank transfer,No,No,Yes,Yes,1,2
